Asset Class,Sub Asset Class
Private Equity,Venture Capital
Private Equity,Buyout
Private Equity,Multi-strategy
Private Debt,Direct lending
Private Debt,Real estate debt
Private Debt,Infrastructure debt
Private Debt,Multi-strategy
Property,Core
Property,Core+
Property,Value add
Property,Opportunistic
Property,Multi-strategy
Infrastructure,Renewables
Infrastructure,Social
Infrastructure,Transport
Infrastructure,Utilities
Infrastructure,Communications
Infrastructure,Other
Infrastructure,Multi-strategy
Real Assets,Residential Ground Rents
Real Assets,Commercial Ground Rents
Real Assets,Income Strips
Real Assets,Timberland
Real Assets,Farmland
Real Assets,Natural capital
Real Assets,Multi-strategy
Other private markets,Other
Multi-strategy private markets,Other
